City,Lat,Max Temp,Humidity,Cloudiness,Wind
Karaj,35.81,44.6,34,0,4.7
Tuatapere,-46.13,68.34,60,100,9.42
Mataura,-46.19,70.77,59,68,5.17
Busselton,-33.64,68.88,96,0,9.64
Okha,53.59,9.93,88,80,19.82
Yellowknife,62.45,-29.21,73,20,3.36
Vayalar,9.7,80.6,57,0,3.36
Muros,42.77,46.4,93,90,3.36
Arman,59.7,-18.69,26,24,3.38
Lumeje,-11.56,62.67,88,64,3.04
Upernavik,72.79,-6.45,100,0,9.64
New Norfolk,-42.78,68.0,52,75,18.34
Bela,26.23,44.67,84,24,2.37
Matara,-13.74,45.3,92,68,1.7
Khatanga,71.98,-11.49,74,56,13.44
Vardo,39.62,30.92,66,90,4.7
Longyearbyen,78.22,1.4,70,20,6.93
Nuuk,64.17,21.2,92,80,13.87
Bredasdorp,-34.53,66.2,88,92,16.11
Kruisfontein,-34.0,65.1,95,68,6.4
Port Alfred,-33.59,68.88,100,92,7.4
Rikitea,-23.12,80.13,98,56,12.21
Butaritari,3.07,84.0,100,80,18.37
Nikolskoye,59.7,26.6,86,75,6.71
Ushuaia,-54.81,39.2,80,40,17.22
Xai-Xai,-25.04,74.64,100,92,3.15
Lucea,18.44,75.2,78,20,3.36
Kovur,14.5,68.88,86,32,5.28
Sainte-Maxime,43.31,46.4,75,75,5.82
Chicama,-7.84,71.6,88,75,8.05
Jinji,22.16,52.23,95,92,7.96
Pacific Grove,36.62,55.94,83,90,8.05
Chokurdakh,70.62,-44.34,0,8,2.93
Lata,30.78,35.4,70,88,2.26
Tuktoyaktuk,69.44,-18.41,75,5,11.41
Ballina,54.11,43.41,95,76,15.68
Mahebourg,-20.41,80.6,78,40,4.7
Kapaa,22.08,77.0,61,1,11.41
Vavuniya,8.76,78.06,79,8,8.97
Arraial do Cabo,-22.97,77.79,84,8,17.92
Egvekinot,66.32,-1.5,76,80,3.15
Cape Town,-33.93,62.6,82,0,4.7
Vysokogornyy,50.1,-5.37,51,0,7.29
Tasiilaq,65.61,6.8,55,20,3.36
Vaini,15.34,71.6,43,0,6.93
Berdigestyakh,62.1,-39.75,0,8,4.83
Klaksvik,62.23,35.6,100,92,6.93
Auki,12.18,58.35,39,8,7.52
Labuhan,-2.54,77.88,90,92,2.93
Aktau,43.65,41.0,93,75,29.08
Am Timan,11.04,66.18,26,0,10.65
Bilma,18.69,37.47,35,0,5.28
Russell,-33.01,71.6,60,0,2.93
Srednekolymsk,67.46,-31.56,0,24,2.59
Bethel,60.79,33.98,88,75,6.93
Kutum,14.2,49.62,79,0,2.93
Cherskiy,68.75,-27.69,44,80,4.05
Atuona,-9.8,80.85,100,80,16.91
Alugan,12.22,78.33,93,92,18.03
Asuncion,-25.3,80.6,78,0,4.7
Soyo,-6.13,74.91,98,56,2.59
Albany,42.65,30.02,63,90,6.93
Sao Joao da Barra,-21.64,79.77,96,0,25.19
Punta Arenas,-53.16,41.0,65,40,20.8
Castro,-42.48,50.0,87,20,6.93
Avarua,-21.21,80.6,74,75,10.29
Hilo,19.71,73.94,62,90,8.63
Puerto Ayora,-0.74,77.43,99,36,9.42
Coquimbo,-29.95,60.8,87,0,4.7
Misratah,32.38,53.4,100,0,7.29
Taywarah,33.35,22.08,79,12,0.69
Whitehorse,60.72,12.2,85,75,2.24
Pathein,16.78,76.8,70,0,5.17
Pingliang,35.54,16.5,69,0,3.04
Banes,20.96,69.8,88,20,1.12
Derzhavinsk,51.1,13.08,88,56,3.15
Mareeba,-16.99,87.8,58,0,19.46
Igarka,67.47,7.68,82,88,14.9
Itajobi,-21.31,80.6,69,0,7.96
Great Bend,38.36,30.02,95,1,3.15
Qaanaaq,77.48,-30.12,96,0,9.53
Maragogi,-9.01,74.73,100,92,3.71
Gisborne,-38.66,64.11,95,64,6.06
Laon,49.56,39.2,80,90,3.36
Aksu,52.04,8.6,92,90,8.95
Bandarbeyla,9.49,74.37,100,88,13.0
Hetauda,27.43,50.0,76,20,2.24
Lazaro Cardenas,28.39,50.0,81,5,3.36
Avera,33.19,41.0,83,1,3.36
Gravdal,59.79,41.0,93,92,14.99
Vila Franca do Campo,37.72,59.0,87,20,5.82
San Quintin,17.54,79.77,61,0,3.27
Wakkanai,45.41,23.0,62,75,31.09
Hithadhoo,-0.6,80.58,100,36,3.6
Hermanus,-34.42,56.01,95,0,6.4
Namatanai,-3.66,87.15,90,12,8.63
Cidreira,-30.17,77.07,91,32,7.4
Hibbing,47.43,8.42,69,90,14.99
Kampong Thum,12.71,85.35,57,32,6.96
Harper,30.3,48.92,89,90,5.82
Ishigaki,24.34,66.2,100,75,25.28
Natal,-5.81,77.0,88,90,8.05
Svetlogorsk,53.14,8.6,78,75,8.95
Antoniny,49.81,23.88,93,88,5.28
Talnakh,69.49,5.7,80,68,3.38
El Hatillo,9.65,88.5,41,64,4.5
East London,-33.02,71.6,78,75,9.17
Caravelas,-17.73,80.76,100,80,13.44
Lebu,8.96,31.98,69,0,2.71
San Cristobal,-0.39,55.4,100,90,4.7
Bluff,-23.58,93.54,43,0,5.73
San Ignacio,-36.8,60.8,55,48,5.82
Evensk,61.92,-15.99,100,0,5.84
Carnarvon,-30.97,57.27,57,0,9.64
Caceres,5.53,66.54,95,64,1.7
Camacha,33.08,60.8,72,75,16.11
Hamilton,32.3,59.0,87,75,14.99
Nanortalik,60.14,29.82,95,92,14.79
Ostrovnoy,68.05,12.72,75,80,5.17
Toora-Khem,52.47,-22.83,29,12,1.92
Port Blair,11.67,81.57,100,20,17.02
Alice Springs,-23.7,107.6,9,0,13.87
Leningradskiy,69.38,-0.69,78,92,26.08
Funadhoo,6.15,82.02,100,32,9.98
Jalu,29.03,43.14,88,0,5.5
Hami,42.84,8.76,68,44,3.15
Beloomut,54.94,21.18,86,64,7.52
Ahipara,-35.17,71.13,74,48,17.58
Saint-Joseph,43.56,42.8,75,75,5.82
Mehamn,71.03,19.4,85,0,9.17
Mahon,51.89,41.0,93,75,11.41
Geraldton,49.72,-5.81,70,75,13.87
Ketchikan,55.34,33.98,100,90,5.82
Ponta do Sol,-20.63,67.71,74,0,2.15
Jamestown,-33.21,98.31,35,64,8.75
Vilhena,-12.74,72.39,91,12,2.26
Te Anau,-45.41,70.77,44,80,10.2
Faya,18.39,53.6,45,0,2.71
Barrow,-38.31,73.74,55,0,13.0
Tecoanapa,16.99,75.2,88,5,4.7
Porto Novo,-23.68,73.4,88,20,3.36
Fjerritslev,57.08,40.08,92,92,11.21
Chuy,-33.69,71.31,96,8,18.92
Victoria,5.28,87.8,74,75,6.93
Chernyshevsk,52.51,-7.26,28,0,3.6
Russkaya Polyana,53.78,9.84,83,56,3.15
Havre-Saint-Pierre,50.23,-0.41,64,40,10.29
Severo-Kurilsk,50.68,28.47,100,68,15.68
Mavrovi Anovi,41.7,6.87,70,20,1.92
Saskylakh,71.97,-32.19,0,20,18.25
Cabo San Lucas,22.89,68.0,77,20,9.17
Wagar,31.44,36.66,83,8,2.37
Pangkalanbuun,-2.68,79.23,97,92,4.94
Saint-Pierre,48.95,39.2,92,75,4.7
San Patricio,-26.98,73.38,98,64,0.69
Kamenskiy,50.89,32.7,96,92,17.81
Mezen,65.85,22.8,92,92,4.38
Mar del Plata,-46.43,63.3,40,44,16.13
Tura,25.52,59.43,81,0,3.71
Honiara,-9.43,82.65,80,88,3.49
Aklavik,68.22,-16.61,68,5,4.7
Grindavik,63.84,26.6,73,20,19.46
Aguilas,37.41,46.92,100,24,4.61
Zhigansk,66.77,-41.82,0,8,5.28
Marawi,8.0,81.21,56,20,3.38
Alakurtti,66.96,14.43,79,80,3.27
Faanui,-16.48,84.27,100,92,13.78
Kaitangata,-46.28,71.58,67,80,8.86
Yining,29.04,35.13,78,92,2.93
Takoradi,4.89,81.3,100,8,7.74
Kuching,1.56,89.6,62,75,5.82
Dikson,73.51,8.85,92,68,7.96
Bara,10.41,59.79,37,0,8.19
Sola,58.89,41.0,93,75,12.75
Santa Fe,-31.62,69.33,91,56,4.05
Hobart,-42.88,69.8,49,20,17.22
Norman Wells,65.28,-9.41,69,75,9.17
Ancud,-41.87,50.0,87,20,6.93
North Bend,43.41,46.94,76,90,6.93
Filingue,14.35,53.22,63,0,2.93
Port Lincoln,-34.72,73.29,76,92,17.69
Karpogory,64.0,24.24,83,88,6.29
Leh,34.16,-12.12,69,80,1.25
Ewo,-0.88,69.42,94,36,6.4
Launceston,-41.43,80.6,36,12,23.04
Ovre Ardal,61.32,4.35,68,56,1.92
Sanski Most,44.77,30.2,68,0,6.93
Clyde River,70.47,-25.61,74,1,5.82
Isangel,-19.55,78.87,100,80,11.21
Salvador,-12.98,82.4,69,40,10.29
Graciano Sanchez,23.92,57.09,95,92,4.16
Tallahassee,30.44,37.4,93,40,2.59
Bitlis,38.4,35.6,94,75,11.41
Meadow Lake,54.13,4.08,76,56,2.15
Potosi,-19.59,37.83,93,68,2.37
Ciudad Bolivar,8.12,81.57,62,64,15.68
Rawlins,41.79,28.4,84,1,3.36
Kodiak,39.95,32.0,100,90,8.05
Boali,4.81,71.6,78,12,5.61
Sitka,37.17,31.08,73,0,3.94
Tan An,10.54,87.8,55,0,4.7
Petropavlovsk-Kamchatskiy,53.05,10.4,55,20,2.24
Hasaki,35.73,51.8,39,40,6.93
Adrar,27.87,42.8,35,0,5.82
Shimoda,34.7,53.6,50,75,11.41
Ribeira Grande,38.52,61.86,96,0,6.85
Bedesa,8.9,39.63,78,0,1.25
Luderitz,-26.65,61.41,77,0,5.17
Lardos,36.09,46.4,75,40,19.46
